case_id,country,date,state,court_name,age,gender,race_ethnicity,income_level,annual_income_usd,crime_type,severity_category,prior_cases,legal_representation,location_type,bail_amount_usd,pretrial_detention_days,bail_granted
CASE_4199,USA,2023-10-18,Illinois,Cook County Circuit Court,70,Male,Asian,High,477073,Fraud,Medium,0,No,Rural,6644,122,1
CASE_4200,USA,2022-08-26,New York,New York City Criminal Court,64,Female,Hispanic,High,209447,Assault,Medium,3,No,Urban,12728,296,1
CASE_4201,USA,2023-10-23,California,Superior Court of California,41,Male,Native American,Medium,43313,Fraud,Medium,0,No,Rural,16243,131,1
CASE_4202,USA,2022-08-11,Arizona,Maricopa County Superior Court,31,Male,Native American,Low,27627,Fraud,Low,0,No,Rural,866,171,1
CASE_4203,USA,2023-07-11,Arizona,Maricopa County Superior Court,30,Female,White,Low,27536,Fraud,Low,2,Yes,Rural,838,271,1
CASE_4204,USA,2023-05-21,New York,New York City Criminal Court,52,Female,Hispanic,Low,30319,Assault,Medium,4,No,Rural,25508,364,0
CASE_4205,USA,2022-09-06,Arizona,Maricopa County Superior Court,58,Female,White,Medium,74124,Fraud,Medium,3,No,Rural,14215,194,1
CASE_4206,USA,2023-07-09,Texas,Harris County District Court,41,Female,Asian,High,197836,Fraud,Medium,3,No,Urban,18594,24,0
CASE_4207,USA,2023-11-07,Arizona,Maricopa County Superior Court,20,Male,Asian,High,264415,Theft,Low,0,No,Rural,3059,174,1
CASE_4208,USA,2024-01-29,New York,New York City Criminal Court,20,Female,Asian,High,311321,Fraud,Low,1,Yes,Urban,3645,194,1
CASE_4209,USA,2023-06-09,Illinois,Cook County Circuit Court,63,Female,Black,Low,31109,WhiteCollar,High,1,No,Rural,128180,288,0
CASE_4210,USA,2023-01-20,Illinois,Cook County Circuit Court,34,Male,Asian,Medium,86513,Assault,High,0,No,Urban,131375,43,0
CASE_4211,USA,2023-03-09,New York,New York City Criminal Court,58,Female,Hispanic,High,97262,Theft,Low,1,Yes,Urban,2891,267,1
CASE_4212,USA,2022-01-19,California,Superior Court of California,28,Male,White,Low,34474,Fraud,Low,0,No,Rural,4665,316,1
CASE_4213,USA,2023-01-06,Texas,Harris County District Court,54,Male,Native American,High,92939,Fraud,Medium,0,Yes,Urban,17032,129,1
CASE_4214,USA,2022-12-01,California,Superior Court of California,19,Male,Black,Low,19373,WhiteCollar,High,0,No,Urban,151379,297,1
CASE_4215,USA,2022-04-19,Illinois,Cook County Circuit Court,45,Female,White,Low,33064,Fraud,Low,0,No,Urban,2069,334,1
CASE_4216,USA,2022-07-06,California,Superior Court of California,48,Female,Asian,Medium,81327,Fraud,High,4,Yes,Rural,128521,212,0
CASE_4217,USA,2022-03-01,New York,New York City Criminal Court,29,Female,Asian,High,126043,Theft,High,2,Yes,Urban,43411,50,1
CASE_4218,USA,2023-12-06,California,Superior Court of California,34,Female,Native American,High,498451,Assault,High,0,Yes,Urban,148515,140,1
CASE_4219,USA,2023-09-28,Illinois,Cook County Circuit Court,67,Male,Native American,Medium,42587,WhiteCollar,Low,1,Yes,Rural,4544,249,1
CASE_4220,USA,2023-11-13,Texas,Harris County District Court,43,Female,Black,Medium,66581,Assault,High,2,No,Rural,66443,239,0
CASE_4221,USA,2023-12-02,Arizona,Maricopa County Superior Court,61,Female,Black,High,285660,Assault,High,4,Yes,Rural,130382,45,0
CASE_4222,USA,2023-02-14,California,Superior Court of California,36,Male,Asian,High,366860,Theft,High,2,No,Urban,82857,323,0
CASE_4223,USA,2023-05-30,Texas,Harris County District Court,56,Female,White,Medium,41479,WhiteCollar,Medium,2,Yes,Urban,8460,243,1
CASE_4224,USA,2022-07-03,California,Superior Court of California,60,Male,Black,Low,15155,Theft,High,4,No,Urban,96899,394,0
CASE_4225,USA,2022-10-08,California,Superior Court of California,27,Male,White,Medium,79651,Theft,Medium,0,No,Urban,5890,328,1
CASE_4226,USA,2024-01-25,Texas,Harris County District Court,47,Male,Asian,High,456014,WhiteCollar,Low,3,Yes,Rural,1511,212,1
CASE_4227,USA,2023-09-01,Illinois,Cook County Circuit Court,62,Male,White,High,321901,Fraud,Medium,1,Yes,Rural,20517,249,0
CASE_4228,USA,2023-01-26,California,Superior Court of California,35,Male,Native American,High,468602,WhiteCollar,Medium,1,No,Rural,19707,393,1
CASE_4229,USA,2023-10-30,Texas,Harris County District Court,47,Female,Asian,Low,20511,Theft,High,5,Yes,Urban,69570,111,1
CASE_4230,USA,2023-08-27,Arizona,Maricopa County Superior Court,43,Female,Asian,Low,16201,Theft,High,1,Yes,Urban,92031,175,0
CASE_4231,USA,2022-02-06,California,Superior Court of California,52,Female,Asian,High,142643,Fraud,High,1,Yes,Urban,87666,254,0
CASE_4232,USA,2022-10-02,New York,New York City Criminal Court,53,Male,Native American,Medium,58555,Assault,High,3,No,Urban,64803,308,0
CASE_4233,USA,2023-04-14,New York,New York City Criminal Court,70,Male,Native American,High,91456,Fraud,Low,5,Yes,Urban,1014,273,0
CASE_4234,USA,2022-03-16,California,Superior Court of California,19,Female,Hispanic,High,493339,WhiteCollar,Medium,4,No,Rural,9430,301,0
CASE_4235,USA,2024-02-04,California,Superior Court of California,25,Male,White,High,305593,Fraud,Low,3,Yes,Rural,4942,59,1
CASE_4236,USA,2024-01-14,Arizona,Maricopa County Superior Court,57,Female,Hispanic,Low,26499,Assault,Medium,5,Yes,Urban,21613,220,0
CASE_4237,USA,2023-09-18,California,Superior Court of California,34,Female,Black,Low,28904,WhiteCollar,Medium,3,No,Rural,16553,545,0
CASE_4238,USA,2024-02-29,New York,New York City Criminal Court,61,Male,Hispanic,High,208348,Assault,Medium,3,Yes,Urban,20419,291,1
CASE_4239,USA,2023-04-11,Illinois,Cook County Circuit Court,66,Male,Black,High,475432,WhiteCollar,Low,3,No,Rural,5375,180,1
CASE_4240,USA,2022-10-29,Illinois,Cook County Circuit Court,55,Female,Native American,High,397157,Theft,Medium,1,Yes,Rural,15325,215,1
CASE_4241,USA,2022-10-08,California,Superior Court of California,54,Female,Black,Medium,77318,Theft,Low,1,No,Urban,5798,280,1
CASE_4242,USA,2022-04-09,New York,New York City Criminal Court,19,Male,Asian,Low,21044,WhiteCollar,High,5,No,Urban,163619,147,0
CASE_4243,USA,2023-01-30,New York,New York City Criminal Court,23,Male,Asian,High,343614,Assault,Low,2,Yes,Urban,3954,229,1
CASE_4244,USA,2023-02-14,California,Superior Court of California,48,Male,Hispanic,High,277298,Assault,High,1,No,Urban,91471,333,0
CASE_4245,USA,2023-07-24,Texas,Harris County District Court,44,Female,Native American,High,465304,Theft,Medium,4,No,Urban,5312,176,0
CASE_4246,USA,2023-03-23,California,Superior Court of California,66,Male,Hispanic,Low,23544,Fraud,High,3,Yes,Rural,140599,128,0
CASE_4247,USA,2023-03-18,Illinois,Cook County Circuit Court,61,Male,Black,Medium,52795,Fraud,High,2,Yes,Rural,177168,208,0
CASE_4248,USA,2023-05-27,Arizona,Maricopa County Superior Court,55,Female,Asian,Low,15877,Theft,High,4,No,Rural,142198,161,0
CASE_4249,USA,2023-11-09,Texas,Harris County District Court,58,Female,White,Low,25164,Assault,Low,4,Yes,Rural,855,64,0
CASE_4250,USA,2022-11-24,California,Superior Court of California,28,Male,Black,High,404712,Theft,High,1,Yes,Urban,48897,268,0
CASE_4251,USA,2022-08-25,Illinois,Cook County Circuit Court,25,Female,Native American,High,218648,Assault,Low,1,No,Urban,4088,145,1
CASE_4252,USA,2024-02-05,Texas,Harris County District Court,68,Female,Hispanic,Low,18764,WhiteCollar,Medium,5,Yes,Urban,14798,226,0
CASE_4253,USA,2022-07-16,California,Superior Court of California,21,Female,Black,Low,18227,Assault,Medium,4,No,Rural,20739,243,0
CASE_4254,USA,2022-04-09,California,Superior Court of California,47,Male,Black,High,214669,Assault,High,0,No,Rural,40294,300,1
CASE_4255,USA,2022-07-05,Illinois,Cook County Circuit Court,26,Female,Asian,Low,23551,WhiteCollar,High,2,No,Urban,93854,65,0
CASE_4256,USA,2022-03-20,Texas,Harris County District Court,57,Male,Black,Medium,78598,Fraud,High,0,Yes,Rural,115503,375,1
CASE_4257,USA,2022-03-17,Texas,Harris County District Court,67,Male,Black,Low,20107,Theft,Low,5,No,Rural,4300,256,0
CASE_4258,USA,2023-12-21,California,Superior Court of California,65,Male,Native American,Medium,52940,Assault,Medium,4,No,Urban,17359,247,0
CASE_4259,USA,2023-10-21,New York,New York City Criminal Court,64,Female,Native American,Medium,86507,Theft,Low,1,No,Urban,4745,186,1
CASE_4260,USA,2023-12-05,Texas,Harris County District Court,20,Female,Black,Low,32834,WhiteCollar,Medium,2,Yes,Urban,9140,439,1
CASE_4261,USA,2022-03-10,Illinois,Cook County Circuit Court,32,Female,Native American,High,286269,WhiteCollar,Low,2,Yes,Urban,1755,253,1
CASE_4262,USA,2022-01-09,California,Superior Court of California,26,Female,White,Low,20147,Assault,High,3,Yes,Rural,35862,148,1
CASE_4263,USA,2023-03-31,New York,New York City Criminal Court,23,Female,Native American,Low,21295,Fraud,High,3,Yes,Urban,72907,326,0
CASE_4264,USA,2023-01-03,California,Superior Court of California,25,Female,Asian,Low,28129,Theft,High,0,No,Urban,48723,214,0
CASE_4265,USA,2023-04-22,California,Superior Court of California,56,Male,Asian,Low,17489,Fraud,Medium,1,Yes,Urban,15597,247,1
CASE_4266,USA,2023-03-20,Arizona,Maricopa County Superior Court,53,Female,Asian,Low,22577,Theft,Low,5,No,Rural,1301,262,0
CASE_4267,USA,2022-07-16,Arizona,Maricopa County Superior Court,68,Female,Black,Low,33794,WhiteCollar,Medium,0,No,Urban,21901,351,1
CASE_4268,USA,2022-12-12,California,Superior Court of California,34,Female,Black,Medium,88970,Fraud,High,1,Yes,Urban,37455,144,1
CASE_4269,USA,2024-02-22,New York,New York City Criminal Court,69,Female,White,Low,17240,WhiteCollar,Low,5,No,Urban,5073,242,0
CASE_4270,USA,2022-12-17,Arizona,Maricopa County Superior Court,51,Male,Hispanic,High,341466,Theft,High,5,Yes,Urban,128175,249,0
CASE_4271,USA,2022-07-01,California,Superior Court of California,29,Male,Hispanic,Medium,35150,WhiteCollar,High,4,Yes,Urban,132759,379,0
CASE_4272,USA,2022-12-23,California,Superior Court of California,40,Male,Black,Low,16538,Theft,High,0,No,Urban,148759,392,1
CASE_4273,USA,2022-06-14,New York,New York City Criminal Court,61,Female,Hispanic,Medium,59473,Theft,Medium,4,Yes,Urban,9476,374,1
CASE_4274,USA,2023-03-08,Texas,Harris County District Court,30,Female,Native American,High,138236,WhiteCollar,Low,1,No,Rural,738,393,1
CASE_4275,USA,2023-03-09,New York,New York City Criminal Court,45,Female,Native American,High,376715,Theft,Low,1,No,Urban,3643,92,1
CASE_4276,USA,2022-12-06,Illinois,Cook County Circuit Court,51,Male,Asian,Low,27548,Theft,Low,4,No,Rural,1220,456,0
CASE_4277,USA,2024-02-06,New York,New York City Criminal Court,41,Male,White,Low,29429,WhiteCollar,Low,3,Yes,Urban,2511,128,1
CASE_4278,USA,2023-10-10,Arizona,Maricopa County Superior Court,23,Male,Hispanic,High,218737,Theft,High,3,No,Rural,121927,396,1
CASE_4279,USA,2022-02-17,Illinois,Cook County Circuit Court,65,Female,White,Low,15379,Fraud,High,0,No,Urban,109927,315,0
CASE_4280,USA,2022-04-12,Texas,Harris County District Court,44,Female,Hispanic,Medium,44421,Fraud,Medium,1,Yes,Urban,21271,314,1
CASE_4281,USA,2024-03-05,Arizona,Maricopa County Superior Court,26,Female,Native American,Medium,53238,WhiteCollar,Low,1,No,Rural,2396,250,1
CASE_4282,USA,2023-07-24,Illinois,Cook County Circuit Court,40,Male,Asian,High,229890,Assault,Low,1,No,Urban,3684,332,1
CASE_4283,USA,2023-07-24,Arizona,Maricopa County Superior Court,64,Male,Asian,Low,30089,WhiteCollar,Medium,0,Yes,Urban,26436,377,1
CASE_4284,USA,2023-02-28,Texas,Harris County District Court,65,Female,White,Medium,58403,WhiteCollar,High,0,No,Urban,73322,342,1
CASE_4285,USA,2023-07-23,Illinois,Cook County Circuit Court,63,Female,White,Low,30290,Fraud,Low,1,Yes,Rural,1377,80,1
CASE_4286,USA,2022-10-09,Arizona,Maricopa County Superior Court,21,Female,Native American,Low,29643,WhiteCollar,Medium,3,No,Urban,22781,325,1
CASE_4287,USA,2023-02-03,Illinois,Cook County Circuit Court,20,Female,White,Medium,78752,Theft,High,4,No,Rural,55489,165,0
CASE_4288,USA,2023-11-12,Texas,Harris County District Court,43,Female,Asian,High,166050,Fraud,High,2,Yes,Rural,67545,87,0
CASE_4289,USA,2023-10-19,California,Superior Court of California,55,Male,Hispanic,Low,23144,Fraud,High,1,No,Urban,131616,458,0
CASE_4290,USA,2023-09-09,Arizona,Maricopa County Superior Court,22,Female,White,Low,19579,WhiteCollar,Medium,5,No,Rural,21406,419,0
CASE_4291,USA,2023-07-27,New York,New York City Criminal Court,40,Male,White,High,233487,Assault,Medium,1,No,Urban,19346,38,1
CASE_4292,USA,2023-06-16,Illinois,Cook County Circuit Court,33,Male,Hispanic,High,272808,Assault,Low,1,No,Urban,1830,430,1
CASE_4293,USA,2022-05-24,Texas,Harris County District Court,42,Female,Hispanic,Low,20092,Fraud,Medium,3,Yes,Urban,24716,139,1
CASE_4294,USA,2022-05-22,Illinois,Cook County Circuit Court,35,Male,White,High,359837,WhiteCollar,Medium,1,Yes,Rural,12713,283,0
CASE_4295,USA,2022-07-24,Texas,Harris County District Court,36,Male,Hispanic,Low,33035,WhiteCollar,High,2,Yes,Rural,67187,177,0
CASE_4296,USA,2022-08-30,New York,New York City Criminal Court,69,Male,White,Low,23664,Theft,High,2,Yes,Urban,133313,80,0
CASE_4297,USA,2023-06-25,Arizona,Maricopa County Superior Court,59,Male,Black,Low,19589,WhiteCollar,Low,3,No,Urban,1172,423,1
CASE_4298,USA,2022-08-23,California,Superior Court of California,42,Female,Asian,Low,23062,Fraud,Low,5,No,Urban,4951,306,0
CASE_4299,USA,2023-01-20,New York,New York City Criminal Court,60,Female,Native American,Low,27800,Fraud,Medium,0,Yes,Rural,10857,348,1
CASE_4300,USA,2023-11-20,New York,New York City Criminal Court,20,Male,Black,Medium,43931,WhiteCollar,Medium,3,No,Urban,10135,89,1
CASE_4301,USA,2024-02-18,California,Superior Court of California,54,Female,Black,Low,17593,WhiteCollar,Medium,2,Yes,Rural,9396,365,1
CASE_4302,USA,2023-12-21,Arizona,Maricopa County Superior Court,61,Female,Asian,High,106126,Assault,Medium,5,Yes,Urban,10538,341,1
CASE_4303,USA,2022-07-07,Texas,Harris County District Court,19,Female,Hispanic,Medium,47162,Theft,Low,3,Yes,Rural,4135,356,1
CASE_4304,USA,2023-08-05,Illinois,Cook County Circuit Court,21,Male,Native American,Low,27504,WhiteCollar,High,2,Yes,Rural,147200,169,0
CASE_4305,USA,2023-12-30,Illinois,Cook County Circuit Court,21,Female,Black,Medium,82022,WhiteCollar,Low,5,No,Urban,3308,241,0
CASE_4306,USA,2022-05-13,Arizona,Maricopa County Superior Court,42,Male,Native American,Low,18690,Fraud,High,0,No,Urban,130514,254,0
CASE_4307,USA,2022-12-17,Illinois,Cook County Circuit Court,18,Female,Black,Medium,37981,Assault,Low,0,No,Urban,2464,153,1
CASE_4308,USA,2022-10-12,New York,New York City Criminal Court,44,Male,Asian,High,446583,Theft,High,2,Yes,Urban,79930,13,0
CASE_4309,USA,2023-10-20,Texas,Harris County District Court,19,Male,Native American,High,101982,Assault,Medium,0,Yes,Rural,24142,110,1
CASE_4310,USA,2022-02-21,Texas,Harris County District Court,43,Female,Black,High,445466,Theft,Medium,4,No,Rural,25185,219,0
CASE_4311,USA,2022-08-12,Arizona,Maricopa County Superior Court,34,Male,Asian,Low,29742,Assault,Low,5,Yes,Rural,2771,227,1
CASE_4312,USA,2023-06-30,Texas,Harris County District Court,39,Male,Asian,Low,29217,Theft,Low,4,No,Urban,2091,471,0
CASE_4313,USA,2022-04-16,Illinois,Cook County Circuit Court,36,Female,Asian,Low,20390,Fraud,High,0,Yes,Urban,80899,255,1
CASE_4314,USA,2022-04-15,California,Superior Court of California,33,Female,Hispanic,Low,17306,Fraud,Medium,3,Yes,Rural,16786,453,0
CASE_4315,USA,2023-03-18,Illinois,Cook County Circuit Court,66,Male,Black,Medium,52137,Fraud,High,1,Yes,Rural,68225,358,0
CASE_4316,USA,2023-10-28,California,Superior Court of California,19,Female,White,Medium,41465,Theft,High,4,Yes,Urban,32079,243,0
CASE_4317,USA,2023-02-20,New York,New York City Criminal Court,54,Female,White,Medium,65039,Assault,Medium,1,Yes,Rural,14420,37,1
CASE_4318,USA,2023-05-30,Arizona,Maricopa County Superior Court,29,Male,White,Medium,68959,Fraud,Low,2,No,Urban,3230,318,1
CASE_4319,USA,2023-06-17,Illinois,Cook County Circuit Court,20,Male,Native American,Medium,69569,WhiteCollar,Medium,4,Yes,Rural,7500,257,0
CASE_4320,USA,2022-04-30,Texas,Harris County District Court,35,Male,Native American,Low,25199,Theft,Medium,2,No,Urban,8709,175,1
CASE_4321,USA,2023-10-05,Texas,Harris County District Court,70,Female,Black,Low,18267,WhiteCollar,High,4,No,Urban,74807,283,0
CASE_4322,USA,2023-10-24,Illinois,Cook County Circuit Court,33,Male,Hispanic,Low,20162,WhiteCollar,Low,5,Yes,Urban,7366,410,1
CASE_4323,USA,2022-07-05,New York,New York City Criminal Court,37,Male,White,Medium,38615,WhiteCollar,High,4,Yes,Rural,114139,154,0
CASE_4324,USA,2022-09-20,California,Superior Court of California,41,Male,Asian,Medium,84120,Theft,Low,5,No,Urban,2135,161,0
CASE_4325,USA,2024-01-26,Arizona,Maricopa County Superior Court,60,Male,Black,High,470164,Assault,Low,1,No,Rural,5200,144,1
CASE_4326,USA,2023-03-03,Texas,Harris County District Court,33,Female,Hispanic,High,487814,Fraud,Medium,1,Yes,Rural,12634,327,1
CASE_4327,USA,2023-08-03,California,Superior Court of California,29,Female,Hispanic,Medium,71811,Fraud,High,5,Yes,Urban,50061,323,0
CASE_4328,USA,2023-05-28,Arizona,Maricopa County Superior Court,67,Male,White,Low,18151,Theft,Low,1,Yes,Urban,1588,189,1
CASE_4329,USA,2022-04-23,Illinois,Cook County Circuit Court,33,Male,Asian,Low,33060,Theft,High,3,No,Rural,46931,170,0
CASE_4330,USA,2023-04-17,Illinois,Cook County Circuit Court,26,Female,Native American,Low,21225,Theft,Low,4,Yes,Urban,726,98,1
CASE_4331,USA,2022-01-06,New York,New York City Criminal Court,62,Female,Black,Medium,57804,Fraud,Low,2,No,Urban,6482,144,1
CASE_4332,USA,2023-09-10,Texas,Harris County District Court,61,Male,Black,High,425338,WhiteCollar,High,0,Yes,Urban,66491,326,1
CASE_4333,USA,2023-03-04,California,Superior Court of California,58,Female,White,High,160087,WhiteCollar,Medium,0,Yes,Urban,21917,326,1
CASE_4334,USA,2023-07-02,Texas,Harris County District Court,68,Female,Native American,Medium,44678,WhiteCollar,High,3,No,Urban,74231,439,0
CASE_4335,USA,2022-04-28,New York,New York City Criminal Court,22,Male,White,Medium,85516,WhiteCollar,High,1,Yes,Urban,105415,302,0
CASE_4336,USA,2022-01-04,Arizona,Maricopa County Superior Court,46,Male,White,Medium,64949,WhiteCollar,High,0,Yes,Rural,140554,36,1
CASE_4337,USA,2023-11-01,Arizona,Maricopa County Superior Court,40,Male,Hispanic,Low,16226,Fraud,Low,1,Yes,Rural,4016,333,1
CASE_4338,USA,2022-06-21,Texas,Harris County District Court,52,Female,Asian,Low,16215,Assault,Low,3,No,Urban,1929,287,1
CASE_4339,USA,2022-04-07,California,Superior Court of California,53,Male,Black,Low,34521,WhiteCollar,High,3,Yes,Urban,92611,343,1
CASE_4340,USA,2023-05-27,New York,New York City Criminal Court,37,Male,Asian,Low,31966,WhiteCollar,Medium,3,No,Urban,14018,184,1
CASE_4341,USA,2023-07-06,Texas,Harris County District Court,42,Female,Native American,Low,32960,WhiteCollar,Medium,0,No,Urban,27467,391,1
CASE_4342,USA,2022-01-18,Illinois,Cook County Circuit Court,28,Female,White,Medium,63018,WhiteCollar,Medium,2,Yes,Urban,7620,297,1
CASE_4343,USA,2024-01-04,New York,New York City Criminal Court,52,Male,White,Medium,67173,Theft,High,0,Yes,Rural,102051,352,1
CASE_4344,USA,2024-03-03,Illinois,Cook County Circuit Court,64,Male,Black,Medium,51505,Theft,Low,0,Yes,Rural,4037,86,1
CASE_4345,USA,2022-10-26,Texas,Harris County District Court,18,Male,Asian,Medium,66848,Fraud,Low,5,Yes,Rural,4355,313,1
CASE_4346,USA,2023-01-04,Texas,Harris County District Court,43,Male,Hispanic,Low,17502,Fraud,Low,5,No,Urban,4038,382,1
CASE_4347,USA,2024-01-22,New York,New York City Criminal Court,50,Female,Asian,Low,23667,Fraud,High,1,Yes,Urban,154484,373,0
CASE_4348,USA,2023-04-15,Illinois,Cook County Circuit Court,64,Male,White,Low,26606,WhiteCollar,Low,4,Yes,Rural,2216,354,1
CASE_4349,USA,2022-05-17,Arizona,Maricopa County Superior Court,61,Male,Hispanic,High,117903,Theft,Low,5,No,Urban,2622,143,1
CASE_4350,USA,2023-10-06,New York,New York City Criminal Court,50,Female,Hispanic,Low,25755,Theft,Low,2,Yes,Urban,7048,227,1
CASE_4351,USA,2022-03-25,New York,New York City Criminal Court,45,Female,White,High,234190,Assault,Medium,5,Yes,Rural,22389,60,1
CASE_4352,USA,2022-11-01,Illinois,Cook County Circuit Court,42,Female,Native American,High,344886,WhiteCollar,Low,0,Yes,Rural,2297,262,1
CASE_4353,USA,2024-01-26,Illinois,Cook County Circuit Court,33,Male,Asian,High,431760,WhiteCollar,High,0,Yes,Rural,82821,61,1
CASE_4354,USA,2023-10-25,California,Superior Court of California,27,Female,Hispanic,Medium,60179,Assault,Low,0,Yes,Urban,2768,213,1
CASE_4355,USA,2023-03-12,Illinois,Cook County Circuit Court,25,Female,White,Low,18856,WhiteCollar,Low,3,Yes,Urban,5154,393,1
CASE_4356,USA,2023-01-13,Arizona,Maricopa County Superior Court,53,Female,Native American,Low,30445,Theft,High,5,No,Urban,73775,289,0
CASE_4357,USA,2022-11-21,Texas,Harris County District Court,61,Female,Native American,High,331519,Assault,Medium,0,Yes,Rural,22359,33,1
CASE_4358,USA,2023-09-06,Illinois,Cook County Circuit Court,64,Male,Asian,Low,33676,Assault,High,0,Yes,Rural,45549,305,1
CASE_4359,USA,2022-10-05,Texas,Harris County District Court,20,Male,White,Low,21680,Theft,Low,5,Yes,Rural,3861,222,1
CASE_4360,USA,2023-07-23,California,Superior Court of California,39,Male,Black,Low,33324,WhiteCollar,Low,4,No,Urban,2766,517,0
CASE_4361,USA,2023-02-24,Texas,Harris County District Court,41,Female,Native American,Low,24622,Fraud,Low,5,No,Rural,2382,275,1
CASE_4362,USA,2022-12-05,Texas,Harris County District Court,19,Male,Asian,Medium,53375,Theft,Low,1,No,Urban,2512,29,1
CASE_4363,USA,2022-07-18,Illinois,Cook County Circuit Court,21,Male,White,Low,17349,Assault,Medium,5,No,Rural,23483,409,0
CASE_4364,USA,2022-07-13,Illinois,Cook County Circuit Court,63,Female,Asian,High,409901,Assault,Low,4,Yes,Rural,1295,144,1
CASE_4365,USA,2022-12-14,Texas,Harris County District Court,57,Female,Native American,High,270400,WhiteCollar,Medium,4,No,Rural,18533,306,0
CASE_4366,USA,2022-07-29,Arizona,Maricopa County Superior Court,37,Female,Hispanic,High,376725,Theft,High,0,Yes,Urban,73084,178,1
CASE_4367,USA,2023-02-09,Texas,Harris County District Court,24,Male,Hispanic,Low,28917,Theft,Low,2,No,Rural,1561,470,1
CASE_4368,USA,2023-06-24,Illinois,Cook County Circuit Court,24,Male,White,Medium,77311,WhiteCollar,Medium,4,Yes,Urban,5117,12,0
CASE_4369,USA,2023-06-05,Illinois,Cook County Circuit Court,62,Female,White,Low,33106,Theft,Low,3,Yes,Rural,960,380,0
CASE_4370,USA,2023-09-24,New York,New York City Criminal Court,68,Female,White,Medium,77276,Assault,High,2,No,Rural,117630,291,0
CASE_4371,USA,2022-12-18,Arizona,Maricopa County Superior Court,23,Male,Asian,High,286802,WhiteCollar,Low,0,No,Rural,4884,152,1
CASE_4372,USA,2023-10-04,New York,New York City Criminal Court,26,Female,Native American,Medium,63866,Assault,Low,1,No,Urban,4030,69,1
CASE_4373,USA,2022-02-27,New York,New York City Criminal Court,47,Female,Black,High,256002,Theft,Low,0,No,Urban,4810,349,1
CASE_4374,USA,2022-12-01,Arizona,Maricopa County Superior Court,18,Female,Hispanic,High,400161,Fraud,High,1,Yes,Urban,172242,355,0
CASE_4375,USA,2024-02-20,California,Superior Court of California,30,Female,Hispanic,Low,23395,Assault,Low,1,No,Urban,6111,349,1
CASE_4376,USA,2023-08-08,Arizona,Maricopa County Superior Court,70,Female,Hispanic,High,394839,WhiteCollar,High,3,Yes,Urban,106216,215,0
CASE_4377,USA,2022-07-17,New York,New York City Criminal Court,25,Male,Hispanic,High,208980,WhiteCollar,Medium,0,Yes,Urban,9601,237,1
CASE_4378,USA,2023-01-27,California,Superior Court of California,30,Female,Black,Low,32636,Theft,Medium,2,No,Rural,14172,429,1
CASE_4379,USA,2023-12-25,California,Superior Court of California,56,Female,Hispanic,Medium,59408,Assault,High,1,No,Urban,109306,375,0
CASE_4380,USA,2023-09-16,Arizona,Maricopa County Superior Court,63,Female,White,High,262748,WhiteCollar,Medium,2,No,Rural,24562,384,1
CASE_4381,USA,2023-03-13,California,Superior Court of California,46,Female,Black,High,194696,Assault,Medium,0,Yes,Urban,15272,366,1
CASE_4382,USA,2023-12-03,Illinois,Cook County Circuit Court,68,Male,Black,Low,33192,Theft,Low,4,Yes,Rural,5080,439,0
CASE_4383,USA,2023-04-13,California,Superior Court of California,19,Female,Hispanic,Medium,71883,WhiteCollar,Low,4,Yes,Urban,4679,384,0
CASE_4384,USA,2022-12-07,Arizona,Maricopa County Superior Court,54,Male,Black,High,439733,Theft,High,2,No,Urban,104181,112,0
CASE_4385,USA,2024-01-24,Arizona,Maricopa County Superior Court,40,Male,Black,Medium,83235,WhiteCollar,Medium,4,No,Rural,25390,180,0
CASE_4386,USA,2022-11-10,New York,New York City Criminal Court,55,Female,Asian,Medium,64527,Assault,Medium,0,Yes,Rural,6032,109,1
CASE_4387,USA,2022-11-05,Texas,Harris County District Court,35,Male,Native American,Low,28903,Theft,High,2,No,Rural,86206,308,0
CASE_4388,USA,2023-10-22,Arizona,Maricopa County Superior Court,50,Male,Native American,Medium,78047,Theft,Low,2,No,Rural,3382,258,1
CASE_4389,USA,2022-06-20,Illinois,Cook County Circuit Court,34,Female,White,Medium,69349,WhiteCollar,Low,1,No,Urban,1093,207,1
CASE_4390,USA,2022-10-21,Arizona,Maricopa County Superior Court,38,Female,Hispanic,High,333758,Theft,Medium,1,Yes,Rural,18164,352,1
CASE_4391,USA,2023-08-04,Illinois,Cook County Circuit Court,69,Female,Native American,High,127419,Assault,Low,4,Yes,Rural,2514,18,1
CASE_4392,USA,2022-03-02,Arizona,Maricopa County Superior Court,48,Female,Asian,High,221368,Assault,Medium,4,Yes,Urban,9231,241,1
CASE_4393,USA,2023-07-30,California,Superior Court of California,58,Female,Black,High,144347,Assault,Low,1,Yes,Urban,700,208,1
CASE_4394,USA,2022-07-06,New York,New York City Criminal Court,63,Male,Asian,Low,28286,Fraud,Medium,3,No,Urban,26277,294,1
CASE_4395,USA,2023-03-27,New York,New York City Criminal Court,67,Male,White,Low,25358,Theft,Low,5,No,Urban,3221,148,1
CASE_4396,USA,2022-09-08,Arizona,Maricopa County Superior Court,25,Female,Hispanic,Medium,39968,Assault,High,4,No,Urban,145964,301,0
CASE_4397,USA,2022-06-17,New York,New York City Criminal Court,62,Female,Black,Medium,76656,WhiteCollar,High,2,No,Rural,63873,230,0
