case_id,country,date,country_region,court_name,court_type,age,gender,ethnicity,income_level,annual_income_gbp,crime_type,severity_category,prior_cases,legal_representation,location_type,bail_amount_gbp,remand_days,bail_granted
CASE_5174,UK,2022-02-13,England,Birmingham Magistrates' Court,Magistrates Court,19,Female,Other,High,243996,WhiteCollar,Medium,3,Yes,Urban,5263,101,1
CASE_5175,UK,2022-05-23,England,Westminster Magistrates' Court,Magistrates Court,66,Female,White British,Low,19544,WhiteCollar,Medium,5,Yes,Rural,7986,216,1
CASE_5176,UK,2022-01-29,England,Birmingham Magistrates' Court,Magistrates Court,50,Female,White British,Low,9568,Theft,High,2,No,Rural,17522,207,0
CASE_5177,UK,2023-12-24,England,Manchester Crown Court,Crown Court,21,Female,Black British,High,176565,Fraud,Low,0,Yes,Urban,2152,147,1
CASE_5178,UK,2023-06-15,Wales,Cardiff Crown Court,Crown Court,50,Male,Other,Medium,20656,Assault,Low,1,Yes,Rural,1807,111,1
CASE_5179,UK,2023-01-28,Scotland,Glasgow Sheriff Court,Magistrates Court,45,Male,Other,Medium,49862,Theft,High,4,Yes,Urban,40385,86,0
CASE_5180,UK,2024-01-20,England,Westminster Magistrates' Court,Magistrates Court,27,Male,Other,Low,10936,Theft,Medium,3,No,Urban,7627,64,1
CASE_5181,UK,2024-02-26,England,Birmingham Magistrates' Court,Magistrates Court,28,Male,Black British,High,257807,Theft,Low,2,No,Urban,961,131,0
CASE_5182,UK,2023-11-22,Scotland,Glasgow Sheriff Court,Magistrates Court,25,Female,Black British,High,242655,Theft,High,2,Yes,Rural,80300,148,0
CASE_5183,UK,2023-01-12,England,Manchester Crown Court,Crown Court,25,Female,Mixed,Low,8502,Theft,High,1,No,Urban,63917,177,0
CASE_5184,UK,2023-11-03,Scotland,Glasgow Sheriff Court,Magistrates Court,22,Female,Asian British,Low,17367,WhiteCollar,High,5,No,Rural,36002,192,0
CASE_5185,UK,2023-03-17,England,Birmingham Magistrates' Court,Magistrates Court,52,Male,Other,High,148058,WhiteCollar,Medium,0,Yes,Urban,10553,17,1
CASE_5186,UK,2022-11-22,Scotland,Glasgow Sheriff Court,Magistrates Court,39,Male,Black British,High,295634,Fraud,Low,0,No,Urban,2178,93,1
CASE_5187,UK,2023-05-14,England,Birmingham Magistrates' Court,Magistrates Court,42,Female,Mixed,Low,19711,Assault,Low,1,Yes,Urban,311,58,1
CASE_5188,UK,2022-02-12,Scotland,Glasgow Sheriff Court,Magistrates Court,21,Male,Asian British,Medium,21121,Theft,High,3,Yes,Urban,43964,52,0
CASE_5189,UK,2024-03-09,England,Birmingham Magistrates' Court,Magistrates Court,53,Male,Mixed,High,279891,WhiteCollar,High,4,No,Urban,53435,66,0
CASE_5190,UK,2022-08-26,England,Manchester Crown Court,Crown Court,54,Female,Asian British,High,166938,WhiteCollar,Low,5,No,Urban,460,88,1
CASE_5191,UK,2022-05-08,England,Manchester Crown Court,Crown Court,22,Male,White British,High,257850,Fraud,Medium,0,No,Urban,9672,143,1
CASE_5192,UK,2022-03-30,England,Manchester Crown Court,Crown Court,37,Male,Mixed,High,259620,Theft,Low,4,No,Urban,1743,70,1
CASE_5193,UK,2022-12-16,England,Manchester Crown Court,Crown Court,38,Female,White British,Medium,48657,Fraud,High,0,Yes,Urban,18009,16,1
CASE_5194,UK,2022-07-28,Scotland,Glasgow Sheriff Court,Magistrates Court,60,Male,Black British,Medium,21999,Theft,High,2,No,Rural,33679,131,0
CASE_5195,UK,2023-09-16,Scotland,Glasgow Sheriff Court,Magistrates Court,21,Female,Other,High,184607,Theft,Medium,2,Yes,Urban,4479,85,1
CASE_5196,UK,2023-03-25,England,Westminster Magistrates' Court,Magistrates Court,50,Female,Other,Medium,28255,Assault,Low,0,No,Rural,1395,141,1
CASE_5197,UK,2024-01-21,England,Manchester Crown Court,Crown Court,54,Male,White British,Low,17498,WhiteCollar,Low,3,No,Rural,2108,211,0
CASE_5198,UK,2023-01-15,Wales,Cardiff Crown Court,Crown Court,59,Female,Mixed,Medium,45651,Fraud,Low,3,Yes,Rural,2171,149,1
CASE_5199,UK,2023-03-11,England,Manchester Crown Court,Crown Court,33,Male,Asian British,Low,17844,Assault,High,5,Yes,Urban,31441,157,0
CASE_5200,UK,2022-03-03,England,Westminster Magistrates' Court,Magistrates Court,29,Female,Asian British,Medium,29764,Theft,High,3,No,Rural,89848,82,0
CASE_5201,UK,2023-07-18,England,Manchester Crown Court,Crown Court,67,Female,Asian British,High,55593,Fraud,Low,2,No,Urban,729,147,1
CASE_5202,UK,2023-10-08,Scotland,Glasgow Sheriff Court,Magistrates Court,26,Male,Black British,Medium,41967,Assault,Low,2,No,Urban,553,73,1
CASE_5203,UK,2023-07-25,Scotland,Glasgow Sheriff Court,Magistrates Court,37,Male,Other,Medium,39022,Fraud,High,3,Yes,Urban,47869,25,0
CASE_5204,UK,2023-10-02,Scotland,Glasgow Sheriff Court,Magistrates Court,37,Female,White British,High,160627,Theft,Medium,4,Yes,Urban,11113,122,1
CASE_5205,UK,2022-03-23,Scotland,Glasgow Sheriff Court,Magistrates Court,55,Female,White British,Low,16520,WhiteCollar,High,5,Yes,Rural,71609,200,0
CASE_5206,UK,2023-06-01,England,Birmingham Magistrates' Court,Magistrates Court,49,Female,Other,High,123445,Fraud,High,2,Yes,Rural,51897,167,1
CASE_5207,UK,2024-01-04,Wales,Cardiff Crown Court,Crown Court,18,Male,Black British,High,255732,Fraud,Low,5,Yes,Rural,2526,80,1
CASE_5208,UK,2022-07-20,England,Manchester Crown Court,Crown Court,51,Female,Mixed,High,93969,WhiteCollar,Medium,3,Yes,Rural,13413,76,1
CASE_5209,UK,2022-01-26,England,Manchester Crown Court,Crown Court,22,Female,White British,High,183781,WhiteCollar,Medium,4,No,Rural,8725,58,0
CASE_5210,UK,2022-06-18,England,Manchester Crown Court,Crown Court,30,Female,Black British,High,125905,Fraud,Low,0,No,Urban,2040,58,1
CASE_5211,UK,2023-12-04,England,Westminster Magistrates' Court,Magistrates Court,54,Male,Mixed,High,253326,Fraud,Low,2,Yes,Rural,854,9,1
CASE_5212,UK,2022-08-27,England,Birmingham Magistrates' Court,Magistrates Court,54,Female,Asian British,Low,19274,Theft,Low,0,No,Urban,1731,121,1
CASE_5213,UK,2023-08-07,England,Birmingham Magistrates' Court,Magistrates Court,29,Male,White British,Medium,37819,Fraud,High,3,No,Urban,41754,97,0
CASE_5214,UK,2023-06-23,Wales,Cardiff Crown Court,Crown Court,57,Female,White British,Low,18862,Theft,Low,2,No,Urban,1169,168,0
CASE_5215,UK,2023-04-14,England,Birmingham Magistrates' Court,Magistrates Court,38,Female,White British,Medium,21298,WhiteCollar,High,5,No,Urban,47625,180,0
CASE_5216,UK,2022-12-22,England,Westminster Magistrates' Court,Magistrates Court,34,Female,White British,Medium,35249,Assault,High,4,Yes,Rural,45010,177,0
CASE_5217,UK,2024-02-27,Wales,Cardiff Crown Court,Crown Court,52,Male,Other,Medium,28269,WhiteCollar,Medium,2,Yes,Urban,8332,23,1
CASE_5218,UK,2023-04-25,Scotland,Glasgow Sheriff Court,Magistrates Court,43,Male,Other,Medium,42323,Assault,Low,0,No,Rural,833,197,1
CASE_5219,UK,2023-02-18,Scotland,Glasgow Sheriff Court,Magistrates Court,68,Female,Mixed,Low,13661,Theft,Low,1,Yes,Rural,808,254,1
CASE_5220,UK,2022-11-04,England,Birmingham Magistrates' Court,Magistrates Court,33,Male,Asian British,Low,13099,WhiteCollar,Low,4,No,Urban,2507,281,1
CASE_5221,UK,2023-07-05,Scotland,Glasgow Sheriff Court,Magistrates Court,40,Male,Mixed,Medium,26616,Theft,Medium,3,Yes,Urban,11594,12,1
CASE_5222,UK,2022-10-13,Scotland,Glasgow Sheriff Court,Magistrates Court,61,Female,Other,Low,13543,WhiteCollar,High,1,Yes,Rural,20341,216,0
CASE_5223,UK,2022-07-13,England,Manchester Crown Court,Crown Court,34,Male,Mixed,Medium,32529,Assault,Low,2,No,Urban,1778,77,1
CASE_5224,UK,2022-12-18,Scotland,Glasgow Sheriff Court,Magistrates Court,70,Male,Mixed,Low,8662,WhiteCollar,High,5,Yes,Rural,56481,161,0
CASE_5225,UK,2023-06-19,Scotland,Glasgow Sheriff Court,Magistrates Court,47,Female,Asian British,Medium,36569,Fraud,Medium,5,No,Rural,3457,201,0
CASE_5226,UK,2022-10-30,England,Birmingham Magistrates' Court,Magistrates Court,38,Female,White British,High,208883,Assault,Medium,2,Yes,Urban,14789,171,1
CASE_5227,UK,2022-12-02,England,Manchester Crown Court,Crown Court,24,Female,Mixed,Medium,31333,Assault,Medium,3,Yes,Urban,4695,18,1
CASE_5228,UK,2023-04-11,England,Westminster Magistrates' Court,Magistrates Court,65,Male,White British,Low,18537,Theft,High,2,Yes,Rural,69821,144,1
CASE_5229,UK,2023-07-18,England,Birmingham Magistrates' Court,Magistrates Court,66,Male,Black British,Medium,24497,Fraud,Low,4,No,Urban,715,97,0
CASE_5230,UK,2022-05-23,England,Manchester Crown Court,Crown Court,58,Female,Mixed,Medium,22975,Assault,Low,2,No,Rural,755,90,1
CASE_5231,UK,2022-07-21,Wales,Cardiff Crown Court,Crown Court,69,Male,Black British,High,131322,Theft,Medium,0,No,Urban,4088,73,1
CASE_5232,UK,2022-01-20,England,Westminster Magistrates' Court,Magistrates Court,30,Female,Black British,Low,18565,Assault,Low,2,Yes,Urban,1212,170,1
CASE_5233,UK,2022-10-07,England,Birmingham Magistrates' Court,Magistrates Court,39,Male,Other,Low,10745,Assault,High,3,Yes,Urban,30010,131,1
CASE_5234,UK,2024-01-02,England,Manchester Crown Court,Crown Court,38,Female,White British,Medium,24654,Theft,Low,2,No,Rural,2146,66,1
CASE_5235,UK,2022-02-18,Scotland,Glasgow Sheriff Court,Magistrates Court,22,Female,Other,Low,10736,Theft,High,2,No,Urban,24613,95,0
CASE_5236,UK,2022-03-09,Wales,Cardiff Crown Court,Crown Court,31,Male,Asian British,Medium,23994,Fraud,Low,0,Yes,Rural,274,83,1
CASE_5237,UK,2024-01-03,Scotland,Glasgow Sheriff Court,Magistrates Court,27,Female,Mixed,High,201913,Theft,High,2,No,Rural,68618,91,0
CASE_5238,UK,2022-06-03,Scotland,Glasgow Sheriff Court,Magistrates Court,29,Female,Other,High,140029,Theft,Medium,3,Yes,Urban,4097,65,1
CASE_5239,UK,2022-05-27,England,Manchester Crown Court,Crown Court,59,Female,Other,High,282701,WhiteCollar,Low,1,Yes,Urban,1162,17,1
CASE_5240,UK,2023-07-16,England,Manchester Crown Court,Crown Court,28,Male,Black British,Medium,41973,WhiteCollar,High,1,No,Urban,74833,159,0
CASE_5241,UK,2023-07-01,England,Manchester Crown Court,Crown Court,49,Female,White British,High,200869,Assault,High,1,No,Urban,49785,114,0
CASE_5242,UK,2022-04-29,England,Westminster Magistrates' Court,Magistrates Court,37,Male,White British,High,296732,WhiteCollar,Low,1,Yes,Urban,2372,127,1
CASE_5243,UK,2022-08-12,Scotland,Glasgow Sheriff Court,Magistrates Court,21,Male,Black British,High,239388,Theft,High,1,Yes,Rural,80951,35,0
CASE_5244,UK,2022-03-29,Scotland,Glasgow Sheriff Court,Magistrates Court,55,Female,Mixed,Low,17973,WhiteCollar,Low,2,Yes,Rural,1327,111,1
CASE_5245,UK,2023-09-08,England,Birmingham Magistrates' Court,Magistrates Court,33,Male,Other,Medium,46754,Assault,Low,3,Yes,Urban,1539,113,1
CASE_5246,UK,2022-01-22,England,Manchester Crown Court,Crown Court,28,Female,Other,Low,9304,Fraud,Low,3,Yes,Urban,2245,222,1
CASE_5247,UK,2023-04-21,Scotland,Glasgow Sheriff Court,Magistrates Court,39,Male,White British,Low,12958,Assault,High,0,No,Urban,20565,262,1
CASE_5248,UK,2023-10-31,England,Birmingham Magistrates' Court,Magistrates Court,19,Male,Other,High,223853,Fraud,High,1,No,Rural,34111,21,0
CASE_5249,UK,2023-06-09,Wales,Cardiff Crown Court,Crown Court,69,Female,Other,Low,19504,Assault,Low,5,No,Urban,747,126,0
CASE_5250,UK,2022-06-05,England,Birmingham Magistrates' Court,Magistrates Court,54,Female,White British,High,111160,WhiteCollar,Low,3,No,Rural,2131,190,1
CASE_5251,UK,2022-01-15,England,Birmingham Magistrates' Court,Magistrates Court,48,Female,Other,High,221312,Fraud,High,1,No,Rural,57941,34,0
CASE_5252,UK,2022-08-15,England,Birmingham Magistrates' Court,Magistrates Court,21,Female,Black British,Medium,43711,WhiteCollar,Medium,1,Yes,Rural,8101,71,1
CASE_5253,UK,2022-09-25,Wales,Cardiff Crown Court,Crown Court,40,Male,Asian British,Medium,41589,Assault,Medium,3,Yes,Urban,8000,167,1
CASE_5254,UK,2022-04-23,Wales,Cardiff Crown Court,Crown Court,56,Female,Asian British,Low,17692,Assault,Medium,2,Yes,Rural,6223,88,1
CASE_5255,UK,2023-08-11,England,Manchester Crown Court,Crown Court,45,Male,Other,Medium,29177,WhiteCollar,Low,0,Yes,Rural,559,49,1
CASE_5256,UK,2022-02-21,England,Westminster Magistrates' Court,Magistrates Court,67,Male,Mixed,Low,12662,WhiteCollar,Medium,5,No,Urban,12013,118,0
CASE_5257,UK,2023-07-26,England,Birmingham Magistrates' Court,Magistrates Court,31,Female,White British,Low,19911,WhiteCollar,Low,3,Yes,Rural,823,32,1
CASE_5258,UK,2022-05-11,Wales,Cardiff Crown Court,Crown Court,68,Female,Black British,Low,16836,WhiteCollar,Low,4,Yes,Urban,2059,188,1
CASE_5259,UK,2022-06-05,England,Westminster Magistrates' Court,Magistrates Court,64,Female,Asian British,High,153221,WhiteCollar,Medium,5,Yes,Urban,5906,54,0
CASE_5260,UK,2022-03-07,England,Birmingham Magistrates' Court,Magistrates Court,37,Female,Black British,Medium,41932,Assault,High,3,Yes,Rural,74810,85,0
CASE_5261,UK,2023-11-03,England,Birmingham Magistrates' Court,Magistrates Court,25,Male,Black British,Medium,36102,WhiteCollar,High,4,Yes,Rural,44498,71,0
CASE_5262,UK,2023-10-04,Scotland,Glasgow Sheriff Court,Magistrates Court,51,Male,Mixed,Medium,24663,WhiteCollar,Low,1,Yes,Rural,1228,147,1
CASE_5263,UK,2022-09-13,England,Manchester Crown Court,Crown Court,21,Male,Asian British,High,242122,Fraud,Medium,2,Yes,Rural,6125,43,0
CASE_5264,UK,2022-02-19,Wales,Cardiff Crown Court,Crown Court,44,Male,Other,Low,16141,Fraud,High,2,No,Urban,42745,62,0
CASE_5265,UK,2022-12-29,Wales,Cardiff Crown Court,Crown Court,50,Male,White British,Medium,43724,Assault,Medium,5,No,Rural,8719,175,1
CASE_5266,UK,2022-01-23,England,Manchester Crown Court,Crown Court,27,Male,Mixed,Medium,25759,WhiteCollar,Low,0,No,Rural,1509,154,1
CASE_5267,UK,2022-05-07,Wales,Cardiff Crown Court,Crown Court,44,Male,White British,High,237083,Fraud,High,0,Yes,Rural,18428,34,1
CASE_5268,UK,2023-05-28,England,Manchester Crown Court,Crown Court,57,Male,Asian British,Low,16456,Assault,High,3,Yes,Rural,39278,266,0
CASE_5269,UK,2023-08-14,England,Westminster Magistrates' Court,Magistrates Court,48,Female,Asian British,Low,12920,Theft,High,5,No,Urban,50286,134,0
CASE_5270,UK,2022-04-29,Wales,Cardiff Crown Court,Crown Court,21,Male,Other,Low,17977,Fraud,Low,0,Yes,Urban,2212,40,1
CASE_5271,UK,2023-05-01,England,Birmingham Magistrates' Court,Magistrates Court,39,Female,Other,High,211159,Theft,Medium,5,Yes,Urban,6208,36,1
CASE_5272,UK,2023-03-18,England,Birmingham Magistrates' Court,Magistrates Court,64,Male,Black British,Low,15156,Theft,Low,1,Yes,Urban,455,126,1
CASE_5273,UK,2023-09-24,England,Birmingham Magistrates' Court,Magistrates Court,58,Male,Other,Medium,22991,Theft,Low,0,No,Rural,1638,163,1
CASE_5274,UK,2023-09-02,England,Westminster Magistrates' Court,Magistrates Court,32,Male,White British,Low,15667,WhiteCollar,Medium,0,No,Urban,2624,280,0
CASE_5275,UK,2022-12-11,England,Birmingham Magistrates' Court,Magistrates Court,58,Male,Asian British,Low,9481,Assault,High,5,Yes,Urban,78911,228,0
CASE_5276,UK,2023-01-28,England,Westminster Magistrates' Court,Magistrates Court,68,Female,Black British,High,196889,Assault,Medium,2,No,Rural,4305,154,0
CASE_5277,UK,2022-01-21,England,Manchester Crown Court,Crown Court,26,Male,White British,Medium,24074,WhiteCollar,Medium,3,Yes,Rural,13118,32,1
CASE_5278,UK,2023-01-25,Wales,Cardiff Crown Court,Crown Court,52,Female,Asian British,High,176919,WhiteCollar,High,5,No,Rural,68085,153,0
CASE_5279,UK,2023-07-08,England,Birmingham Magistrates' Court,Magistrates Court,28,Male,Asian British,Medium,41733,WhiteCollar,High,2,No,Urban,66857,173,0
CASE_5280,UK,2023-10-21,Wales,Cardiff Crown Court,Crown Court,33,Female,Black British,Low,17992,Fraud,High,2,No,Rural,76085,90,0
CASE_5281,UK,2023-10-21,England,Manchester Crown Court,Crown Court,21,Male,Mixed,Medium,26987,Theft,Low,2,Yes,Urban,388,96,1
CASE_5282,UK,2023-03-27,England,Birmingham Magistrates' Court,Magistrates Court,21,Male,Black British,High,199200,Theft,Medium,4,No,Rural,12518,74,1
CASE_5283,UK,2023-09-01,Scotland,Glasgow Sheriff Court,Magistrates Court,48,Female,Black British,High,132738,Fraud,High,4,Yes,Rural,31640,142,0
CASE_5284,UK,2022-06-28,England,Birmingham Magistrates' Court,Magistrates Court,51,Female,Other,Low,15573,Theft,Medium,1,Yes,Urban,5730,181,1
CASE_5285,UK,2023-04-22,England,Birmingham Magistrates' Court,Magistrates Court,21,Female,Asian British,High,241673,Assault,Medium,3,No,Rural,12696,135,1
CASE_5286,UK,2022-12-05,Scotland,Glasgow Sheriff Court,Magistrates Court,69,Male,Other,Low,14444,Fraud,High,2,Yes,Rural,49360,119,0
CASE_5287,UK,2024-01-16,Wales,Cardiff Crown Court,Crown Court,65,Male,Black British,Low,9111,Theft,Medium,2,No,Urban,10509,181,1
CASE_5288,UK,2022-08-31,Scotland,Glasgow Sheriff Court,Magistrates Court,62,Female,Other,Low,10206,Fraud,Low,5,No,Rural,1826,72,1
CASE_5289,UK,2022-08-31,England,Manchester Crown Court,Crown Court,48,Female,White British,High,212308,Fraud,Medium,0,No,Rural,4730,36,1
CASE_5290,UK,2023-11-03,England,Birmingham Magistrates' Court,Magistrates Court,68,Female,White British,Medium,31848,Assault,Low,4,Yes,Rural,2033,178,1
CASE_5291,UK,2023-02-11,Scotland,Glasgow Sheriff Court,Magistrates Court,67,Male,Mixed,High,127209,Fraud,Medium,5,Yes,Rural,7430,84,0
CASE_5292,UK,2022-08-23,Scotland,Glasgow Sheriff Court,Magistrates Court,61,Female,Other,Low,14379,Assault,Medium,1,Yes,Urban,12403,137,1
CASE_5293,UK,2022-11-08,Wales,Cardiff Crown Court,Crown Court,30,Male,Other,Low,11291,Fraud,High,3,No,Urban,65757,194,0
CASE_5294,UK,2022-12-09,England,Birmingham Magistrates' Court,Magistrates Court,29,Male,Mixed,Low,18233,Theft,Medium,4,No,Urban,4210,222,0
CASE_5295,UK,2022-09-27,Scotland,Glasgow Sheriff Court,Magistrates Court,27,Male,Other,Low,8477,Theft,Medium,0,No,Rural,14335,124,1
CASE_5296,UK,2022-03-28,Scotland,Glasgow Sheriff Court,Magistrates Court,36,Female,Asian British,High,207842,Theft,Medium,4,Yes,Urban,13538,164,0
CASE_5297,UK,2023-12-27,Scotland,Glasgow Sheriff Court,Magistrates Court,65,Male,Other,Medium,42925,Theft,Medium,2,Yes,Rural,9209,64,1
CASE_5298,UK,2023-03-27,England,Westminster Magistrates' Court,Magistrates Court,44,Male,White British,Low,17272,WhiteCollar,Low,5,No,Rural,1772,188,0
CASE_5299,UK,2022-08-08,England,Manchester Crown Court,Crown Court,68,Female,Asian British,Low,9544,Fraud,Low,5,Yes,Rural,469,212,1
CASE_5300,UK,2022-11-12,Scotland,Glasgow Sheriff Court,Magistrates Court,55,Male,Asian British,Low,8141,Fraud,High,3,No,Urban,48541,238,0
CASE_5301,UK,2022-10-08,Scotland,Glasgow Sheriff Court,Magistrates Court,35,Female,White British,High,217778,Fraud,High,5,No,Rural,72634,196,0
CASE_5302,UK,2022-12-24,Scotland,Glasgow Sheriff Court,Magistrates Court,63,Male,Other,Medium,54406,WhiteCollar,Low,0,Yes,Rural,486,142,1
CASE_5303,UK,2024-03-08,Wales,Cardiff Crown Court,Crown Court,49,Male,Black British,Medium,23044,Assault,Medium,2,Yes,Urban,11300,44,1
CASE_5304,UK,2023-01-04,England,Westminster Magistrates' Court,Magistrates Court,64,Female,Other,Medium,35526,Fraud,High,5,Yes,Urban,38829,161,0
CASE_5305,UK,2022-07-22,Scotland,Glasgow Sheriff Court,Magistrates Court,31,Male,White British,Medium,20440,Theft,Medium,4,No,Rural,14001,181,0
CASE_5306,UK,2023-02-28,England,Westminster Magistrates' Court,Magistrates Court,65,Female,Mixed,Medium,49436,Theft,Low,3,Yes,Rural,1064,118,1
CASE_5307,UK,2023-04-18,England,Birmingham Magistrates' Court,Magistrates Court,56,Male,White British,Medium,20573,Fraud,Low,3,Yes,Urban,1726,51,1
CASE_5308,UK,2023-06-08,Scotland,Glasgow Sheriff Court,Magistrates Court,35,Male,Mixed,High,192064,Fraud,Low,3,No,Urban,247,97,1
CASE_5309,UK,2023-06-27,Scotland,Glasgow Sheriff Court,Magistrates Court,35,Male,Black British,High,139665,Fraud,High,1,Yes,Rural,83343,123,0
CASE_5310,UK,2022-12-14,Scotland,Glasgow Sheriff Court,Magistrates Court,40,Male,Mixed,Low,15236,Fraud,High,1,Yes,Rural,62041,112,1
CASE_5311,UK,2024-02-29,England,Birmingham Magistrates' Court,Magistrates Court,36,Female,Black British,Medium,22213,Fraud,Medium,5,Yes,Urban,5364,133,0
CASE_5312,UK,2024-01-16,Scotland,Glasgow Sheriff Court,Magistrates Court,61,Male,Asian British,High,82408,Theft,High,0,Yes,Urban,41372,44,1
CASE_5313,UK,2022-04-14,England,Birmingham Magistrates' Court,Magistrates Court,34,Female,Other,Low,9208,WhiteCollar,Low,3,Yes,Urban,1182,102,1
CASE_5314,UK,2022-04-28,Wales,Cardiff Crown Court,Crown Court,44,Female,White British,Medium,34170,Assault,High,5,No,Urban,55660,27,0
CASE_5315,UK,2023-07-04,England,Westminster Magistrates' Court,Magistrates Court,21,Male,White British,Low,15990,Fraud,High,0,Yes,Rural,66516,116,0
CASE_5316,UK,2023-02-05,Scotland,Glasgow Sheriff Court,Magistrates Court,24,Female,White British,Low,9690,Fraud,High,0,Yes,Rural,49330,76,1
CASE_5317,UK,2022-05-13,Scotland,Glasgow Sheriff Court,Magistrates Court,56,Male,Black British,High,167322,Fraud,Medium,0,Yes,Urban,13448,185,1
CASE_5318,UK,2023-12-21,England,Westminster Magistrates' Court,Magistrates Court,58,Female,Mixed,Medium,48385,Fraud,Low,4,Yes,Rural,1303,20,1
CASE_5319,UK,2024-01-28,England,Birmingham Magistrates' Court,Magistrates Court,25,Female,Asian British,Medium,21185,WhiteCollar,Medium,2,No,Rural,7595,183,0
CASE_5320,UK,2023-07-16,England,Birmingham Magistrates' Court,Magistrates Court,25,Female,Mixed,Low,8233,WhiteCollar,Medium,0,Yes,Urban,5693,143,1
CASE_5321,UK,2022-11-09,Scotland,Glasgow Sheriff Court,Magistrates Court,19,Male,Mixed,High,156524,Fraud,Low,1,Yes,Urban,456,95,1
CASE_5322,UK,2023-12-03,Scotland,Glasgow Sheriff Court,Magistrates Court,68,Male,Mixed,Low,14687,WhiteCollar,Low,3,Yes,Urban,2049,240,1
CASE_5323,UK,2023-01-18,Wales,Cardiff Crown Court,Crown Court,37,Female,Mixed,Medium,28445,Fraud,Low,5,No,Rural,757,56,0
CASE_5324,UK,2022-04-04,England,Manchester Crown Court,Crown Court,56,Female,Other,Medium,27949,Fraud,Low,1,Yes,Rural,2118,105,1
CASE_5325,UK,2024-01-04,Wales,Cardiff Crown Court,Crown Court,56,Female,Mixed,Medium,54684,WhiteCollar,Medium,1,No,Urban,9945,139,1
CASE_5326,UK,2023-09-19,England,Manchester Crown Court,Crown Court,36,Female,Other,Low,13093,Theft,High,2,Yes,Rural,31018,93,0
CASE_5327,UK,2023-12-26,England,Birmingham Magistrates' Court,Magistrates Court,58,Male,Asian British,Low,10934,Theft,Low,1,Yes,Urban,2023,187,1
CASE_5328,UK,2023-11-09,Wales,Cardiff Crown Court,Crown Court,22,Female,Asian British,Low,16946,WhiteCollar,Medium,0,No,Rural,15842,208,1
CASE_5329,UK,2023-08-11,England,Westminster Magistrates' Court,Magistrates Court,31,Female,Other,High,276339,WhiteCollar,High,2,Yes,Urban,72593,79,0
CASE_5330,UK,2023-10-13,England,Manchester Crown Court,Crown Court,23,Female,Other,Low,19135,Assault,Low,4,No,Rural,1162,148,1
CASE_5331,UK,2022-12-20,Scotland,Glasgow Sheriff Court,Magistrates Court,33,Female,White British,High,159080,Fraud,Low,0,Yes,Urban,2285,145,1
CASE_5332,UK,2022-09-30,Scotland,Glasgow Sheriff Court,Magistrates Court,57,Male,Mixed,Low,12911,Theft,Medium,3,Yes,Rural,14829,197,1
CASE_5333,UK,2022-02-27,England,Birmingham Magistrates' Court,Magistrates Court,46,Male,Other,Low,15251,WhiteCollar,Medium,1,Yes,Urban,4171,133,1
CASE_5334,UK,2024-03-03,Wales,Cardiff Crown Court,Crown Court,64,Male,Other,High,292965,Assault,Low,4,No,Urban,1782,83,1
CASE_5335,UK,2023-06-28,England,Birmingham Magistrates' Court,Magistrates Court,40,Female,White British,Medium,44910,WhiteCollar,Medium,2,Yes,Urban,10955,143,1
CASE_5336,UK,2024-01-03,England,Birmingham Magistrates' Court,Magistrates Court,41,Female,Asian British,Low,14608,Fraud,High,4,No,Rural,45632,170,0
CASE_5337,UK,2022-04-29,England,Birmingham Magistrates' Court,Magistrates Court,21,Female,Black British,High,186808,Theft,Medium,0,No,Rural,5354,84,1
CASE_5338,UK,2023-06-07,Wales,Cardiff Crown Court,Crown Court,20,Female,Asian British,High,153127,Assault,Medium,4,Yes,Urban,11537,98,1
CASE_5339,UK,2022-08-12,England,Birmingham Magistrates' Court,Magistrates Court,46,Female,White British,High,91483,Fraud,Low,1,No,Urban,684,130,1
CASE_5340,UK,2022-08-31,England,Manchester Crown Court,Crown Court,53,Male,Black British,Medium,21996,Theft,High,0,Yes,Urban,21137,41,0
CASE_5341,UK,2023-01-16,England,Birmingham Magistrates' Court,Magistrates Court,19,Female,Black British,Medium,21842,Fraud,High,0,No,Urban,49985,226,1
CASE_5342,UK,2024-01-09,Scotland,Glasgow Sheriff Court,Magistrates Court,54,Female,Mixed,Medium,52686,WhiteCollar,Medium,4,Yes,Urban,13572,133,1
CASE_5343,UK,2022-04-25,Scotland,Glasgow Sheriff Court,Magistrates Court,66,Male,Asian British,Low,15916,Fraud,Low,1,No,Urban,2574,303,1
CASE_5344,UK,2023-05-22,Scotland,Glasgow Sheriff Court,Magistrates Court,69,Female,Mixed,High,189694,WhiteCollar,Low,2,Yes,Rural,357,129,1
CASE_5345,UK,2023-12-12,England,Manchester Crown Court,Crown Court,25,Female,Other,High,152984,Theft,Medium,3,No,Rural,5019,181,1
CASE_5346,UK,2023-07-08,Scotland,Glasgow Sheriff Court,Magistrates Court,57,Male,White British,Low,17523,Fraud,Low,3,No,Urban,1220,71,1
CASE_5347,UK,2023-11-28,England,Westminster Magistrates' Court,Magistrates Court,59,Male,Other,Medium,46837,Fraud,Medium,4,No,Rural,6893,95,1
CASE_5348,UK,2022-02-08,England,Manchester Crown Court,Crown Court,63,Male,Mixed,Medium,50236,Assault,Medium,0,Yes,Urban,7812,3,1
